tournament,round,home,away,goals_home,goals_away,extra_time_or_pen
2018,G,Russia,Saudi Arabia,5,0,
2018,G,Portugal,Spain,3,3,
2018,G,France,Australia,2,1,
2018,G,Peru,Denmark,0,1,
2018,G,Morocco,Iran,0,1,
2018,G,Argentina,Iceland,1,1,
2018,G,Croatia,Nigeria,2,0,
2018,G,Brazil,Switzerland,1,1,
2018,G,Costa Rica,Serbia,0,1,
2018,G,Germany,Mexico,0,1,
2018,G,Sweden,South Korea,1,0,
2018,G,Belgium,Panama,3,0,
2018,G,England,Tunisia,2,1,
2018,G,Denmark,Australia,1,1,
2018,G,France,Peru,1,0,
2018,G,Russia,Egypt,3,1,
2018,G,Portugal,Morocco,1,0,
2018,G,Iran,Spain,0,1,
2018,G,Brazil,Costa Rica,2,0,
2018,G,Nigeria,Iceland,2,0,
2018,G,Serbia,Switzerland,1,2,
2018,G,Mexico,Sweden,0,3,
2018,G,Germany,South Korea,2,0,
2018,G,Belgium,Tunisia,5,2,
2018,G,Panama,England,1,6,
2018,G,Japan,Colombia,1,2,
2018,G,Senegal,Poland,2,1,
2018,G,Uruguay,Russia,3,0,
2018,G,Spain,Morocco,2,2,
2018,G,Denmark,France,0,0,
2018,G,Australia,Peru,0,2,
2018,G,Nigeria,Argentina,1,2,
2018,G,Iceland,Croatia,1,2,
2018,G,Colombia,Senegal,0,1,
2018,G,Japan,Poland,0,1,
2018,G,Poland,Senegal,1,2,
2018,G,Japan,Senegal,2,2,
2018,G,Colombia,Poland,3,0,
2018,R16,France,Argentina,4,3,
2018,R16,Uruguay,Portugal,2,1,
2018,R16,Spain,Russia,1,1,PEN:4-3
2018,R16,Croatia,Denmark,1,1,PEN:3-2
2018,R16,Brazil,Mexico,2,0,
2018,R16,Belgium,Japan,2,1,
2018,R16,Sweden,Switzerland,1,0,
2018,R16,England,Colombia,2,1,PEN:4-3
2018,QF,Uruguay,France,0,2,
2018,QF,Brazil,Belgium,2,1,
2018,QF,Sweden,England,0,2,
2018,QF,Russia,Croatia,2,2,PEN:4-3
2018,SF,France,Belgium,1,0,
2018,SF,Croatia,England,2,1,ET
2018,3P,Belgium,England,2,0,
2018,F,France,Croatia,4,2,
