team,elo_pre,confederation,is_host
Qatar,1400,AFC,Y
Ecuador,1610,CONMEBOL,N
Senegal,1640,CAF,N
Netherlands,1690,UEFA,N
England,1710,UEFA,N
Iran,1560,AFC,N
United States,1620,CONCACAF,N
Wales,1580,UEFA,N
Argentina,1740,CONMEBOL,N
Saudi Arabia,1540,AFC,N
Mexico,1650,CONCACAF,N
Poland,1610,UEFA,N
France,1780,UEFA,N
Australia,1650,AFC,N
Denmark,1680,UEFA,N
Tunisia,1600,CAF,N
Spain,1720,UEFA,N
Costa Rica,1580,CONCACAF,N
Germany,1710,UEFA,N
Japan,1620,AFC,N
Belgium,1700,UEFA,N
Canada,1600,CONCACAF,N
Morocco,1640,CAF,N
Croatia,1670,UEFA,N
Brazil,1760,CONMEBOL,N
Serbia,1640,UEFA,N
Switzerland,1680,UEFA,N
Cameroon,1570,CAF,N
Portugal,1680,UEFA,N
Ghana,1600,CAF,N
Uruguay,1700,CONMEBOL,N
South Korea,1620,AFC,N
