date,home,away,goals_home,goals_away,tournament,et_or_pen
2024-06-20,Argentina,Canada,2,0,Copa America 2024,
2024-06-21,Peru,Chile,0,0,Copa America 2024,
2024-06-25,Peru,Canada,0,1,Copa America 2024,
2024-06-25,Chile,Argentina,0,1,Copa America 2024,
2024-06-29,Argentina,Peru,2,0,Copa America 2024,
2024-06-29,Canada,Chile,0,0,Copa America 2024,
2024-06-22,Ecuador,Venezuela,1,2,Copa America 2024,
2024-06-22,Mexico,Jamaica,1,0,Copa America 2024,
2024-06-26,Ecuador,Jamaica,3,1,Copa America 2024,
2024-06-26,Venezuela,Mexico,1,0,Copa America 2024,
2024-06-30,Mexico,Ecuador,0,0,Copa America 2024,
2024-06-30,Jamaica,Venezuela,0,3,Copa America 2024,
2024-06-23,United States,Bolivia,2,0,Copa America 2024,
2024-06-23,Uruguay,Panama,3,1,Copa America 2024,
2024-06-27,Panama,United States,2,1,Copa America 2024,
2024-06-27,Uruguay,Bolivia,5,0,Copa America 2024,
2024-07-01,United States,Uruguay,0,1,Copa America 2024,
2024-07-01,Bolivia,Panama,1,3,Copa America 2024,
2024-06-24,Colombia,Paraguay,2,1,Copa America 2024,
2024-06-24,Brazil,Costa Rica,0,0,Copa America 2024,
2024-06-28,Colombia,Costa Rica,3,0,Copa America 2024,
2024-06-28,Paraguay,Brazil,1,4,Copa America 2024,
2024-07-02,Brazil,Colombia,1,1,Copa America 2024,
2024-07-02,Costa Rica,Paraguay,2,1,Copa America 2024,
2024-07-04,Argentina,Ecuador,1,1,Copa America 2024,
2024-07-05,Venezuela,Canada,1,1,Copa America 2024,
2024-07-06,Colombia,Panama,5,0,Copa America 2024,
2024-07-06,Uruguay,Brazil,0,0,Copa America 2024,
2024-07-09,Argentina,Canada,2,0,Copa America 2024,
2024-07-10,Uruguay,Colombia,0,1,Copa America 2024,
2024-07-13,Canada,Uruguay,2,2,Copa America 2024,
2024-06-14,Germany,Scotland,5,1,Euro 2024,
2024-06-15,Hungary,Switzerland,1,3,Euro 2024,
2024-06-19,Germany,Hungary,2,0,Euro 2024,
2024-06-19,Scotland,Switzerland,1,1,Euro 2024,
2024-06-23,Switzerland,Germany,1,1,Euro 2024,
2024-06-23,Scotland,Hungary,0,1,Euro 2024,
2024-06-15,Spain,Croatia,3,0,Euro 2024,
2024-06-15,Italy,Albania,2,1,Euro 2024,
2024-06-19,Croatia,Albania,2,2,Euro 2024,
2024-06-20,Spain,Italy,1,0,Euro 2024,
2024-06-24,Albania,Spain,0,1,Euro 2024,
2024-06-24,Croatia,Italy,1,1,Euro 2024,
2024-06-16,Slovenia,Denmark,1,1,Euro 2024,
2024-06-16,Serbia,England,0,1,Euro 2024,
2024-06-20,Slovenia,Serbia,1,1,Euro 2024,
2024-06-20,Denmark,England,1,1,Euro 2024,
2024-06-25,England,Slovenia,0,0,Euro 2024,
2024-06-25,Denmark,Serbia,0,0,Euro 2024,
2024-06-16,Poland,Netherlands,1,2,Euro 2024,
2024-06-17,Austria,France,0,1,Euro 2024,
2024-06-21,Poland,Austria,1,3,Euro 2024,
2024-06-21,Netherlands,France,0,0,Euro 2024,
2024-06-25,Netherlands,Austria,2,3,Euro 2024,
2024-06-25,France,Poland,1,1,Euro 2024,
2024-06-17,Romania,Ukraine,3,0,Euro 2024,
2024-06-17,Belgium,Slovakia,0,1,Euro 2024,
2024-06-21,Slovakia,Ukraine,1,2,Euro 2024,
2024-06-22,Belgium,Romania,2,0,Euro 2024,
2024-06-26,Slovakia,Romania,1,1,Euro 2024,
2024-06-26,Ukraine,Belgium,0,0,Euro 2024,
2024-06-18,Turkey,Georgia,3,1,Euro 2024,
2024-06-18,Portugal,Czech Republic,2,1,Euro 2024,
2024-06-22,Georgia,Czech Republic,1,1,Euro 2024,
2024-06-22,Turkey,Portugal,0,3,Euro 2024,
2024-06-26,Georgia,Portugal,2,0,Euro 2024,
2024-06-26,Czech Republic,Turkey,1,2,Euro 2024,
2024-06-29,Switzerland,Italy,2,0,Euro 2024,
2024-06-29,Germany,Denmark,2,0,Euro 2024,
2024-06-30,Spain,Georgia,4,1,Euro 2024,
2024-07-01,France,Belgium,1,0,Euro 2024,
2024-07-02,Romania,Netherlands,0,3,Euro 2024,
2024-07-02,Austria,Turkey,1,2,Euro 2024,
2024-07-06,Netherlands,Turkey,2,1,Euro 2024,
2024-07-09,Spain,France,2,1,Euro 2024,
2024-07-10,Netherlands,England,1,2,Euro 2024,
2024-07-14,Spain,England,2,1,Euro 2024,
2024-01-13,Ivory Coast,Guinea-Bissau,2,0,AFCON 2023,
2024-01-14,Nigeria,Equatorial Guinea,1,1,AFCON 2023,
2024-01-18,Equatorial Guinea,Guinea-Bissau,4,2,AFCON 2023,
2024-01-18,Ivory Coast,Nigeria,0,1,AFCON 2023,
2024-01-22,Equatorial Guinea,Ivory Coast,4,0,AFCON 2023,
2024-01-22,Guinea-Bissau,Nigeria,0,1,AFCON 2023,
2024-01-14,Egypt,Mozambique,2,2,AFCON 2023,
2024-01-14,Ghana,Cape Verde,1,2,AFCON 2023,
2024-01-18,Egypt,Ghana,2,2,AFCON 2023,
2024-01-19,Cape Verde,Mozambique,3,0,AFCON 2023,
2024-01-22,Mozambique,Ghana,2,2,AFCON 2023,
2024-01-22,Cape Verde,Egypt,2,2,AFCON 2023,
2024-01-15,Senegal,Gambia,3,0,AFCON 2023,
2024-01-15,Cameroon,Guinea,1,1,AFCON 2023,
2024-01-19,Senegal,Cameroon,3,1,AFCON 2023,
2024-01-19,Guinea,Gambia,1,0,AFCON 2023,
2024-01-23,Guinea,Senegal,0,2,AFCON 2023,
2024-01-23,Gambia,Cameroon,2,3,AFCON 2023,
2024-01-15,Algeria,Angola,1,1,AFCON 2023,
2024-01-16,Burkina Faso,Mauritania,1,0,AFCON 2023,
2024-01-20,Algeria,Burkina Faso,2,2,AFCON 2023,
2024-01-20,Mauritania,Angola,2,3,AFCON 2023,
2024-01-23,Angola,Burkina Faso,2,0,AFCON 2023,
2024-01-23,Mauritania,Algeria,1,0,AFCON 2023,
2024-01-16,Tunisia,Namibia,0,1,AFCON 2023,
2024-01-16,Mali,South Africa,2,0,AFCON 2023,
2024-01-20,Tunisia,Mali,1,1,AFCON 2023,
2024-01-21,South Africa,Namibia,4,0,AFCON 2023,
2024-01-24,South Africa,Tunisia,0,0,AFCON 2023,
2024-01-24,Namibia,Mali,0,0,AFCON 2023,
2024-01-17,Morocco,Tanzania,3,0,AFCON 2023,
2024-01-17,DR Congo,Zambia,1,1,AFCON 2023,
2024-01-21,Morocco,DR Congo,1,1,AFCON 2023,
2024-01-21,Zambia,Tanzania,1,1,AFCON 2023,
2024-01-24,Tanzania,DR Congo,0,0,AFCON 2023,
2024-01-24,Zambia,Morocco,0,1,AFCON 2023,
2024-01-27,Angola,Namibia,3,0,AFCON 2023,
2024-01-27,Nigeria,Cameroon,2,0,AFCON 2023,
2024-01-28,Equatorial Guinea,Guinea,0,1,AFCON 2023,
2024-01-29,Cape Verde,Mauritania,1,0,AFCON 2023,
2024-01-30,Mali,Burkina Faso,2,1,AFCON 2023,
2024-01-30,Morocco,South Africa,0,2,AFCON 2023,
2024-02-02,Nigeria,Angola,1,0,AFCON 2023,
2024-02-02,DR Congo,Guinea,3,1,AFCON 2023,
2024-02-07,Ivory Coast,DR Congo,1,0,AFCON 2023,
2024-02-10,South Africa,DR Congo,0,0,AFCON 2023,
2024-02-11,Nigeria,Ivory Coast,1,2,AFCON 2023,
2024-01-12,Qatar,Lebanon,3,0,Asian Cup 2023,
2024-01-13,China,Tajikistan,0,0,Asian Cup 2023,
2024-01-17,Lebanon,China,0,0,Asian Cup 2023,
2024-01-17,Tajikistan,Qatar,0,1,Asian Cup 2023,
2024-01-22,Qatar,China,1,0,Asian Cup 2023,
2024-01-22,Tajikistan,Lebanon,2,1,Asian Cup 2023,
2024-01-13,Australia,India,2,0,Asian Cup 2023,
2024-01-13,Uzbekistan,Syria,0,0,Asian Cup 2023,
2024-01-18,Syria,Australia,0,1,Asian Cup 2023,
2024-01-18,India,Uzbekistan,0,3,Asian Cup 2023,
2024-01-23,Australia,Uzbekistan,1,1,Asian Cup 2023,
2024-01-23,Syria,India,1,0,Asian Cup 2023,
2024-01-14,United Arab Emirates,Hong Kong,3,1,Asian Cup 2023,
