team,matches,gf,ga,confederation
Argentina,18,31,10,CONMEBOL
Brazil,18,24,17,CONMEBOL
Colombia,18,28,18,CONMEBOL
Ecuador,18,14,5,CONMEBOL
Paraguay,18,14,10,CONMEBOL
Uruguay,18,22,12,CONMEBOL
Germany,6,16,3,UEFA
Switzerland,6,14,2,UEFA
Scotland,6,13,7,UEFA
France,6,16,4,UEFA
Spain,6,21,2,UEFA
Portugal,6,20,7,UEFA
Türkiye,6,17,12,UEFA
Austria,8,22,4,UEFA
Bosnia & Herzegovina,8,17,7,UEFA
Netherlands,8,27,4,UEFA
Norway,8,37,5,UEFA
England,8,22,3,UEFA
Belgium,8,29,7,UEFA
Sweden,6,4,12,UEFA
Haiti,10,20,13,CONCACAF
Curaçao,10,28,5,CONCACAF
Egypt,10,20,2,CAF
Senegal,10,22,3,CAF
South Africa,10,15,9,CAF
Cabo Verde,10,16,8,CAF
Morocco,8,22,2,CAF
Ivory Coast,10,25,3,CAF
Algeria,10,24,8,CAF
Tunisia,10,22,2,CAF
DR Congo,10,15,6,CAF
Ghana,10,17,9,CAF
Qatar,6,18,3,AFC
Japan,6,24,2,AFC
South Korea,6,20,1,AFC
Iraq,6,17,2,AFC
Australia,6,22,2,AFC
IR Iran,10,19,8,AFC
Uzbekistan,10,14,7,AFC
Saudi Arabia,10,16,9,AFC
Jordan,10,12,10,AFC
New Zealand,6,37,1,OFC
