match,date,group,home,away,city
1,2026-06-11,A,Mexico,South Africa,Mexico City
2,2026-06-11,A,South Korea,Czechia,Guadalajara
3,2026-06-12,B,Canada,Bosnia & Herzegovina,Toronto
4,2026-06-12,D,United States,Paraguay,Los Angeles
5,2026-06-13,D,Australia,Türkiye,Vancouver
6,2026-06-13,B,Qatar,Switzerland,San Francisco
7,2026-06-13,C,Brazil,Morocco,New York
8,2026-06-13,C,Haiti,Scotland,Boston
9,2026-06-14,E,Germany,Curaçao,Houston
10,2026-06-14,F,Netherlands,Japan,Dallas
11,2026-06-14,E,Ivory Coast,Ecuador,Philadelphia
12,2026-06-14,F,Sweden,Tunisia,Monterrey
13,2026-06-15,H,Spain,Cabo Verde,Atlanta
14,2026-06-15,G,Belgium,Egypt,Seattle
15,2026-06-15,H,Saudi Arabia,Uruguay,Miami
16,2026-06-15,G,IR Iran,New Zealand,Los Angeles
17,2026-06-16,I,France,Senegal,New York
18,2026-06-16,I,Iraq,Norway,Boston
19,2026-06-16,J,Argentina,Algeria,Kansas City
20,2026-06-17,J,Austria,Jordan,San Francisco
21,2026-06-17,K,Portugal,DR Congo,Houston
22,2026-06-17,L,England,Croatia,Dallas
23,2026-06-17,L,Ghana,Panama,Toronto
24,2026-06-17,K,Colombia,Uzbekistan,Kansas City
25,2026-06-18,A,Czechia,South Africa,Atlanta
26,2026-06-18,B,Switzerland,Bosnia & Herzegovina,Los Angeles
27,2026-06-18,A,Mexico,South Korea,Guadalajara
28,2026-06-18,B,Canada,Qatar,Vancouver
29,2026-06-19,D,United States,Australia,Seattle
30,2026-06-19,C,Scotland,Morocco,Boston
31,2026-06-19,C,Brazil,Haiti,Philadelphia
32,2026-06-19,D,Türkiye,Paraguay,San Francisco
33,2026-06-20,F,Netherlands,Sweden,Houston
34,2026-06-20,E,Germany,Ivory Coast,Toronto
35,2026-06-20,E,Ecuador,Curaçao,Kansas City
36,2026-06-21,F,Tunisia,Japan,Monterrey
37,2026-06-21,H,Spain,Saudi Arabia,Atlanta
38,2026-06-21,G,Belgium,IR Iran,Los Angeles
39,2026-06-21,H,Uruguay,Cabo Verde,Miami
40,2026-06-21,G,New Zealand,Egypt,Vancouver
41,2026-06-22,J,Argentina,Austria,Dallas
42,2026-06-22,I,France,Iraq,Philadelphia
43,2026-06-22,I,Norway,Senegal,New York
44,2026-06-22,J,Jordan,Algeria,San Francisco
45,2026-06-23,K,Portugal,Uzbekistan,Houston
46,2026-06-23,L,England,Ghana,Boston
47,2026-06-23,L,Panama,Croatia,Toronto
48,2026-06-23,K,Colombia,DR Congo,Guadalajara
49,2026-06-24,A,Czechia,Mexico,Mexico City
50,2026-06-24,A,South Africa,South Korea,Monterrey
51,2026-06-24,B,Bosnia & Herzegovina,Qatar,Seattle
52,2026-06-24,B,Switzerland,Canada,Vancouver
53,2026-06-24,C,Scotland,Brazil,Miami
54,2026-06-24,C,Morocco,Haiti,Atlanta
55,2026-06-25,E,Ecuador,Germany,New York
56,2026-06-25,E,Curaçao,Ivory Coast,Philadelphia
57,2026-06-25,F,Japan,Sweden,Dallas
58,2026-06-25,F,Tunisia,Netherlands,Kansas City
59,2026-06-25,D,Türkiye,United States,Los Angeles
60,2026-06-25,D,Paraguay,Australia,San Francisco
61,2026-06-26,H,Cabo Verde,Saudi Arabia,Houston
62,2026-06-26,H,Uruguay,Spain,Guadalajara
63,2026-06-26,G,Egypt,IR Iran,Seattle
64,2026-06-26,G,New Zealand,Belgium,Vancouver
65,2026-06-26,I,Norway,France,Boston
66,2026-06-26,I,Senegal,Iraq,Toronto
67,2026-06-27,K,Colombia,Portugal,Miami
68,2026-06-27,K,DR Congo,Uzbekistan,Atlanta
69,2026-06-27,L,Panama,England,New York
70,2026-06-27,L,Croatia,Ghana,Philadelphia
71,2026-06-27,J,Algeria,Austria,Kansas City
72,2026-06-27,J,Jordan,Argentina,Dallas
