team,wins,losses
Germany,7,1
Argentina,6,2
Croatia,4,1
Uruguay,5,2
Brazil,4,3
France,3,4
England,5,5
Netherlands,1,5
Spain,2,3
Portugal,4,2
Belgium,1,1
Mexico,2,3
Japan,2,3
South Korea,3,2
Switzerland,2,3
Colombia,4,3
Paraguay,4,3
Ecuador,0,2
Ghana,2,2
Senegal,1,2
Ivory Coast,4,2
Egypt,2,2
Tunisia,1,1
Algeria,2,2
DR Congo,2,1
Cabo Verde,0,1
South Africa,2,1
Morocco,4,3
Saudi Arabia,2,1
IR Iran,1,3
Iraq,1,1
Australia,2,2
Qatar,1,0
Uzbekistan,0,1
Jordan,0,2
United States,2,1
Canada,1,1
Panama,2,1
Haiti,0,0
Curaçao,0,0
New Zealand,0,1
Czechia,3,1
Sweden,1,1
Norway,0,1
Austria,1,0
Türkiye,1,1
Bosnia & Herzegovina,1,0
Scotland,1,2
